head,tail,relation,relation_en
贾代善,贾源,子,son
娄氏,贾源,重孙媳妇,daughter_in_law_of_grandson
贾母,贾代善,妻,wife
老姨奶奶,贾代善,妾,concubine
贾敏,贾代善,女,daughter
嫣红,贾赦,妾,concubine
翠云,贾赦,妾,concubine
娇红,贾赦,妾,concubine
贾迎春,贾赦,女,daughter
赵姨娘,贾政,妾,concubine
周姨娘,贾政,妾,concubine
贾珠,贾政,子,son
尤二姐,贾琏,妾,concubine
秋桐,贾琏,妾,concubine
平儿,贾琏,妾,concubine
薛宝衩,贾宝玉,妻,wife
花袭人,贾宝玉,妾,concubine
贾桂,贾宝玉,子,son
贾菌,娄氏,子,son
周秀才,贾巧姐,姐夫,brother_in_law
周财主,周秀才,父亲,father
周妈妈,周秀才,母亲,mother
孙亲太太,孙绍祖,母亲,mother
刑大舅二姐,邢夫人,妹,younger_sister
邢德全,邢夫人,弟,younger_brother
张大老爷,邢夫人,老亲,old_relatives
邢忠,邢夫人,兄,elder_brother
张大老爷之女,张大老爷,女,daughter
刑秞烟,邢忠,女,daughter
李婶,李守中,弟媳,sister_in_law
李婶之弟,李婶,弟,younger_brother
李纹,李婶,女,daughter
甄宝玉,李绮,夫,husband
甄应嘉,甄宝玉祖母,子,son
甄夫人,甄应嘉,妻,wife
大姑娘,甄应嘉,女,daughter
二姑娘,甄应嘉,女,daughter
三姑娘,甄应嘉,女,daughter
袭人之母,袭人,母亲,mother
花自芳,袭人,兄,elder_brother
周琼之子,贾探春,夫,husband
林如海之父,林如海,父亲,father
林如海之祖,林如海,祖父,grandfather
林如海之子,林如海,子,son
李妈,贾巧姐,乳母,nurser
昭儿,贾琏,奴仆,servant
兴儿,贾琏,奴仆,servant
隆儿,贾琏,奴仆,servant
庆儿,贾琏,奴仆,servant
赵嬷嬷,贾琏,乳母,nurser
赵天梁,赵嬷嬷,子,son
赵天栋,赵嬷嬷,子,son
王信,贾琏,奴仆,servant
王信媳妇,贾琏,奴仆,servant
鲍二,贾琏,奴仆,servant
善姐,尤二姐,丫鬟,servant_girl
迎春乳母,贾迎春,乳母,nurser
王住儿媳妇,迎春乳母,子媳,daughter_in_law
绣桔,贾迎春,丫鬟,servant_girl
莲花儿,贾迎春,丫鬟,servant_girl
秦思祺,贾迎春,丫鬟,servant_girl
潘又安,秦思祺,男友,boy_friend
贾琮奶妈,贾琮,乳母,nurser
篆儿,刑秞烟,丫鬟,servant_girl
新进来的奶子,贾兰,奶妈,nurser
素云,李纨,丫鬟,servant_girl
碧月,李纨,丫鬟,servant_girl
抱琴,贾元春,丫鬟,servant_girl
李嬷嬷,贾宝玉,乳母,nurser
赵嬷嬷,贾宝玉,乳母,nurser
张嬷嬷,贾宝玉,乳母,nurser
宋嬷嬷,贾宝玉,奴仆,servant
叶茗烟,贾宝玉,奴仆,servant
锄药,贾宝玉,奴仆,servant
扫红,贾宝玉,奴仆,servant
墨雨,贾宝玉,奴仆,servant
引泉,贾宝玉,奴仆,servant
扫花,贾宝玉,奴仆,servant
挑云,贾宝玉,奴仆,servant
伴鹤,贾宝玉,奴仆,servant
双瑞,贾宝玉,奴仆,servant
双寿,贾宝玉,奴仆,servant
老叶妈,叶茗烟,母亲,mother
李贵,李嬷嬷,子,son
李嬷嬷孙子,贾宝玉,奴仆,servant
王荣,贾宝玉,奴仆,servant
张若锦,贾宝玉,奴仆,servant
赵亦华,贾宝玉,奴仆,servant
周瑞,王夫人,奴仆,servant
周瑞女儿,周瑞,女,daughter
冷子兴,周瑞,女婿,son_in_law
周嫂子的儿子,周瑞,子,son
何三,周瑞,干儿子,adopted_son
白金钏,王夫人,丫鬟,servant_girl
白玉钏,王夫人,丫鬟,servant_girl
彩云,王夫人,丫鬟,servant_girl
彩鸾,王夫人,丫鬟,servant_girl
绣鸾,王夫人,丫鬟,servant_girl
绣凤,王夫人,丫鬟,servant_girl
白老媳妇,白金钏,母亲,mother
白老媳妇,白玉钏,母亲,mother
彩霞之母,彩霞,母亲,mother
小霞,彩霞,妹,younger_sister
小鹊,赵姨娘,丫鬟,servant_girl
